,_id,l_id,r_id,l_title,l_salary,l_company,l_address,r_title,r_maxSalary,r_company,r_address
33,122,535,1045,Mobile Software Engineer.,"1,000 - 1,500 USD",Kofax Vietnam,"['521 Kim Ma, Ba Dinh, Ha Noi']","Mobile Software Engineer (Salary Up to 1,500$)",1500,"Kofax Vietnam Co., Ltd.","11 Fl., A tower, Handi Resco Bld.,521 Kim Ma, Ngoc Khanh, Ba Dinh"
34,124,103,1062,PHP Developer (Upto 2000$ NET),"500 - 2,000 USD",Giao Hàng Tiết Kiệm,"['Tòa nhà VTV, số 8 Phạm Hùng, phường Mễ Trì, quận Nam Từ Liêm, thành phố Hà Nội, Nam Tu Liem, Ha Noi']",Frontend Developer (Upto $2000 NET),2000,Công Ty Cổ Phần Giao Hàng Tiết Kiệm,"Tòa nhà GHTK Building, số 8 Phạm Hùng, phường Mễ Trì, quận Nam Từ Liêm, Hà Nội"
35,125,105,1062,Java Developer (Upto 2000 NET),"500 - 2,000 USD",Giao Hàng Tiết Kiệm,"['Tòa nhà VTV, số 8 Phạm Hùng, phường Mễ Trì, quận Nam Từ Liêm, thành phố Hà Nội, Nam Tu Liem, Ha Noi']",Frontend Developer (Upto $2000 NET),2000,Công Ty Cổ Phần Giao Hàng Tiết Kiệm,"Tòa nhà GHTK Building, số 8 Phạm Hùng, phường Mễ Trì, quận Nam Từ Liêm, Hà Nội"
36,126,353,1062,Frontend Developer,"500 - 2,300 USD",Vietkentech,"['126 Nguyễn Thị Minh Khai, Phường 6, Quận 3, Thành phố Hồ Chí Minh 70000, Vietnam, District 3, Ho Chi Minh', 'Cách công viên Cầu Giấy 300m, Cau Giay, Ha Noi']",Frontend Developer (Upto $2000 NET),2000,Công Ty Cổ Phần Giao Hàng Tiết Kiệm,"Tòa nhà GHTK Building, số 8 Phạm Hùng, phường Mễ Trì, quận Nam Từ Liêm, Hà Nội"
37,127,395,1062,Frontend Developer (Upto 2000$ NET),"500 - 2,000 USD",Giao Hàng Tiết Kiệm,"['Tòa nhà VTV, số 8 Phạm Hùng, phường Mễ Trì, quận Nam Từ Liêm, thành phố Hà Nội, Nam Tu Liem, Ha Noi']",Frontend Developer (Upto $2000 NET),2000,Công Ty Cổ Phần Giao Hàng Tiết Kiệm,"Tòa nhà GHTK Building, số 8 Phạm Hùng, phường Mễ Trì, quận Nam Từ Liêm, Hà Nội"
38,128,209,1074,Senior UI/UX Designer (x3),You'll love it,"Niteco Vietnam Co., Ltd","['14th Floor, CLand Tower, 156 Xa Dan II, Dong Da, Ha Noi', 'Unit 2.3, 2nd Floor, Etown 1, 364 Cong Hoa street, Tan Binh, Ho Chi Minh']",Senior UI/UX Designer (x3),0,"Niteco (Vietnam) CO., Ltd","C'Land building, no 156, Xã Đàn 2, Nam Đồng, Đống Đa, Hanoi, Vietnam"
39,130,353,1115,Frontend Developer,"500 - 2,300 USD",Vietkentech,"['126 Nguyễn Thị Minh Khai, Phường 6, Quận 3, Thành phố Hồ Chí Minh 70000, Vietnam, District 3, Ho Chi Minh', 'Cách công viên Cầu Giấy 300m, Cau Giay, Ha Noi']",[ Urgent] Frontend Developer (ReactJS),0,Midas Protocol,"Vinhomes West Point, Pham Hung Str., Me Tri Ward, Nam Tu Liem, Ha Noi."
40,137,353,1253,Frontend Developer,"500 - 2,300 USD",Vietkentech,"['126 Nguyễn Thị Minh Khai, Phường 6, Quận 3, Thành phố Hồ Chí Minh 70000, Vietnam, District 3, Ho Chi Minh', 'Cách công viên Cầu Giấy 300m, Cau Giay, Ha Noi']","URGENT - Frontend Developer (Attractive Salary, Fintech Projects)",2000,Công Ty Cổ Phần Công Nghệ Tài Chính SmartOSC,"Tầng 19, tòa nhà Handico, đường Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"
41,138,312,1264,Business Analyst,Up to 20m vnd gross,Avenue,"['Garden Plaza 1, District 7, Ho Chi Minh', 'Floor 7th, MacPlaza, 10 Tran Phu Street, Ha Dong, Ha Noi']",Senior Business Analyst,0,Techcombank,"Techcombank Tower -191 Bà Triệu, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội"
42,139,458,1264,Senior Business Analyst,You'll love it,VPBank,"['89 Lang Ha, Dong Da, Ha Noi']",Senior Business Analyst,0,Techcombank,"Techcombank Tower -191 Bà Triệu, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội"
43,140,610,1264,IT Business Analyst,You'll love it,Techcombank,"['C5 Building Tower, D’Capitale Tower, 119 Tran Duy Hung, Cau Giay, Ha Noi']",Senior Business Analyst,0,Techcombank,"Techcombank Tower -191 Bà Triệu, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội"
44,142,229,1304,"Senior Angular Developer (HTML5, CSS)",You'll love it,Techcombank,"['191 Bà Triệu, Hai Ba Trung, Ha Noi']",Senior Angular Developer,0,Techcombank,"Techcombank Tower -191 Bà Triệu, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội"
